id,week_offset,week_label,rank,title,artist,likes,crawled_at
71,0,2026.03.30 ~ 2026.04.05,71,Never Ending Story,아이유,86573,2026-05-26 15:47:04
72,0,2026.03.30 ~ 2026.04.05,72,인사,범진,163553,2026-05-26 15:47:04
73,0,2026.03.30 ~ 2026.04.05,73,시작의 아이,마크툽 (MAKTUB),85919,2026-05-26 15:47:04
74,0,2026.03.30 ~ 2026.04.05,74,힙합보단 사랑\, 사랑보단 돈 (Feat. 베이식),노아주다 (noahjooda),50345,2026-05-26 15:47:04
75,0,2026.03.30 ~ 2026.04.05,75,눈사람,정승환,309981,2026-05-26 15:47:04
76,0,2026.03.30 ~ 2026.04.05,76,XOXZ,IVE (아이브),55998,2026-05-26 15:47:04
77,0,2026.03.30 ~ 2026.04.05,77,Magnetic,아일릿(ILLIT),146163,2026-05-26 15:47:04
78,0,2026.03.30 ~ 2026.04.05,78,I AM,IVE (아이브),238663,2026-05-26 15:47:04
79,0,2026.03.30 ~ 2026.04.05,79,에피소드,이무진,142744,2026-05-26 15:47:04
80,0,2026.03.30 ~ 2026.04.05,80,사랑은 늘 도망가,임영웅,237669,2026-05-26 15:47:04
81,0,2026.03.30 ~ 2026.04.05,81,Popcorn,도경수(D.O.),82181,2026-05-26 15:47:04
82,0,2026.03.30 ~ 2026.04.05,82,그래 늦지 않았어 (2025),"아샤트리\, 이예은\, 전건호",17336,2026-05-26 15:47:04
83,0,2026.03.30 ~ 2026.04.05,83,끝사랑,테이,12629,2026-05-26 15:47:04
84,0,2026.03.30 ~ 2026.04.05,84,캐치 캐치,YENA (최예나),34064,2026-05-26 15:47:04
85,0,2026.03.30 ~ 2026.04.05,85,Merry Go Round,방탄소년단,24221,2026-05-26 15:47:04
86,0,2026.03.30 ~ 2026.04.05,86,한번 더 이별,이창섭,33668,2026-05-26 15:47:04
87,0,2026.03.30 ~ 2026.04.05,87,TOO BAD (feat. Anderson .Paak),G-DRAGON,156073,2026-05-26 15:47:04
88,0,2026.03.30 ~ 2026.04.05,88,운명 (2025),"먼데이 키즈\, 이이경",36310,2026-05-26 15:47:04
89,0,2026.03.30 ~ 2026.04.05,89,Hype Boy,NewJeans,315851,2026-05-26 15:47:04
90,0,2026.03.30 ~ 2026.04.05,90,벚꽃 엔딩,버스커 버스커,314189,2026-05-26 15:47:04
91,0,2026.03.30 ~ 2026.04.05,91,GO,BLACKPINK,20091,2026-05-26 15:47:04
92,0,2026.03.30 ~ 2026.04.05,92,One More Night,방탄소년단,23020,2026-05-26 15:47:04
93,0,2026.03.30 ~ 2026.04.05,93,MY LOVE(2025),"이예은\, 아샤트리\, 전건호",39830,2026-05-26 15:47:04
94,0,2026.03.30 ~ 2026.04.05,94,이 밤을 빌려 말해요,PLAVE,31251,2026-05-26 15:47:04
95,0,2026.03.30 ~ 2026.04.05,95,they don’t know ’bout us,방탄소년단,23206,2026-05-26 15:47:04
96,0,2026.03.30 ~ 2026.04.05,96,Please,방탄소년단,23942,2026-05-26 15:47:04
97,0,2026.03.30 ~ 2026.04.05,97,봄 사랑 벚꽃 말고,"HIGH4 (하이포)\, 아이유",231427,2026-05-26 15:47:04
98,0,2026.03.30 ~ 2026.04.05,98,우연히 봄,"로코\, 유주 (YUJU)",184646,2026-05-26 15:47:04
99,0,2026.03.30 ~ 2026.04.05,99,비의 랩소디,임재현,109984,2026-05-26 15:47:04
100,0,2026.03.30 ~ 2026.04.05,100,Into the Sun,방탄소년단,24124,2026-05-26 15:47:04
101,0,2026.04.06 ~ 2026.04.12,1,기쁨\, 슬픔\, 아름다운 마음,AKMU (악뮤),79258,2026-05-26 15:47:04
102,0,2026.04.06 ~ 2026.04.12,2,BANG BANG,IVE (아이브),64208,2026-05-26 15:47:04
103,0,2026.04.06 ~ 2026.04.12,3,404 (New Era),KiiiKiii (키키),66002,2026-05-26 15:47:04
104,0,2026.04.06 ~ 2026.04.12,4,RUDE!,Hearts2Hearts (하츠투하츠),63368,2026-05-26 15:47:04
105,0,2026.04.06 ~ 2026.04.12,5,SWIM,방탄소년단,60888,2026-05-26 15:47:04
106,0,2026.04.06 ~ 2026.04.12,6,소문의 낙원,AKMU (악뮤),74298,2026-05-26 15:47:04
107,0,2026.04.06 ~ 2026.04.12,7,사랑하게 될 거야,한로로,134529,2026-05-26 15:47:04
108,0,2026.04.06 ~ 2026.04.12,8,Drowning,WOODZ,300622,2026-05-26 15:47:04
109,0,2026.04.06 ~ 2026.04.12,9,Good Goodbye,화사 (HWASA),119761,2026-05-26 15:47:04
110,0,2026.04.06 ~ 2026.04.12,10,0+0,한로로,106518,2026-05-26 15:47:04
